user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
173314,383346,50969,1535,57222,222433,529278,68884,185926,37779,1122161,64642,341344,97579,373018,128473,339260,164368
173579,192264,174096,294000,142367,579298,690623,362983,400420,47510,22015,226066,482376,42720,126104,27643,489552,38643
173880,135887,203111,288146,140806,74281,147109,185926,230557,173579,359220,394077,92886,33159,218535,265954,386849,969481
174096,294000,400420,173579,124190,560491,232190,80998,55578,88099,199020,315055,248023,142367,218535,358796,280166,92886
174991,1122161,383346,89831,373018,199792,663997,252816,358698,104295,251917,937635,8688,53932,264017,121185,229850,288146
176615,117781,92816,177753,810787,177933,54678,39301,28649,57222,7108,318235,185285,58104,226863,60989,52543,251626
177753,176615,485151,400420,9869,264017,92816,231054,38643,117781,57222,59473,22015,189616,339260,1122161,146047,68884
177933,39301,28649,158086,60989,226863,176615,52125,355637,39835,285039,439797,620763,147109,55729,369715,625696,278113
180090,169969,13796,482376,37036,341344,1052873,97579,105601,1535,128473,844554,28649,579298,67656,191533,285039,632249
182624,60989,232480,131126,252816,88099,226863,369715,8688,1320105,189475,218535,248023,199020,347822,60260,124190,64583
184723,288146,312577,1133190,142559,623399,341344,204024,37036,47510,226863,28649,47559,128473,119466,189616,359220,97579
185285,663997,95743,810787,269331,46660,256795,1800054678,400708,229850,176615,501778,74281,226863,140132,68960,227607,2549237
185446,91392,204024,264017,485151,52125,173579,529278,464080,928301,33159,158086,218535,140806,129652,690623,355637,24386
185926,27643,601528,88099,8629,386585,339260,1122161,50969,173314,140806,383346,173880,9869,125388,39835,252816,174991
187281,316717,7108,341344,189616,47559,37036,89831,482376,47907,128473,1052873,180090,461834,844554,119466,97579,37779
187373,74281,593513,199020,839492,125388,68884,80998,1179225,394077,65056,57222,135887,386849,1269015,229619,222433,485151
188119,316717,229619,74652,198154,117781,382203,13483,40961,125640,218535,7108,37036,142367,52125,88099,52543,928301
189475,95743,59780,92816,204024,166294,60989,377581,22015,11176,810787,64642,394077,37305,135887,47559,142367,353131
189616,341344,37036,485151,187281,36944,318235,59473,632249,180090,28649,119466,844554,264017,128473,1581225,324621,47559
191533,180090,105601,97579,89831,768828,447165,204024,125640,318235,74652,226863,52543,128473,142335,57042,203325,844554
192264,142367,47510,42720,690623,173579,126104,104295,60260,38643,969481,64642,55729,125640,250031,1365025,92886,373018
192581,337963,5060,173880,1365025,286851,377581,256795,53932,407007,44383,386849,57222,324621,906665,60989,129652,231054
195589,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
198154,222433,59473,140806,68960,188119,486718,26512,13483,53932,386585,38643,140132,362983,316717,371738,359220,810787
199020,165933,47510,60260,256795,39835,129652,620763,174096,539686,294000,187373,1581225,64583,57222,329638,182624,315055
199792,1122161,54697,174991,50151,101034,55578,27783,121185,383346,172369,373018,252816,937635,914720,251626,104295,55729
199848,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
203111,135887,64583,173880,329638,250031,51011,255338,439797,218535,147109,377581,47559,810787,158086,57222,43083,386585
203325,101732,4470,879716,124190,68884,768828,428885,74652,363055,1072593,839492,136997,101823,844554,407007,8688,191533
204024,189475,184723,288146,89831,105601,485151,251626,2123645,74652,377581,180090,95743,185446,125640,92816,60989,37305
207176,307214,286851,29782,937635,847160,8629,101823,64642,371738,316717,177753,11176,166294,339260,185926,199792,51011
209441,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
209747,26512,222433,55729,226863,218535,394077,222564,126440,58104,579298,248023,386585,67656,1269015,37779,540346,377581
218535,37036,28649,52125,24386,341344,486718,8688,40961,482376,39301,57042,128473,47559,288351,89831,54678,131126
222055,2549237,117781,928301,222433,358698,173579,101823,353131,359220,125640,55729,142335,248023,486718,623399,222564,134624
222433,844554,198154,447165,579298,489552,142335,140806,2549237,103876,1581225,26512,232190,18391,52543,485151,222055,60992
222564,39835,847160,358698,447165,124249,663997,1133190,623399,353131,53932,36944,80998,55578,222433,209747,307214,593513
222970,160974,251917,126104,229524,285039,44383,58836,103876,377581,57042,32058,39835,386849,37036,231054,265954,810787
226066,47907,173579,353579,121185,242484,187373,347822,248023,358796,60260,92816,1581225,199792,250031,142367,1320105,65056
